Close,Timestamp,High,Low,Open
16380.01,1669746000000,16384.77,16367.27,16378.08
16371.65,1669746300000,16380.83,16368.63,16377.54
16359.88,1669746600000,16366.59,16358.88,16366.59
16371.81,1669746900000,16371.81,16357.32,16358.86
16368.01,1669747200000,16371.81,16366.27,16371.81
16399.34,1669747500000,16404.07,16374.33,16374.34
16393.04,1669747800000,16404.26,16386.82,16399.15
16422.95,1669748100000,16425.75,16399.73,16402.33
16449.73,1669748400000,16462.46,16413.69,16413.69
16439.28,1669748700000,16451.53,16430.94,16451.53
16443.58,1669749000000,16447.42,16433.16,16442.45
16432.41,1669749300000,16447.42,16432.41,16440.89
16426.96,1669749600000,16434.18,16421.97,16434.17
16432.33,1669749900000,16438.97,16431.54,16432.76
16423.86,1669750200000,16432.41,16423.49,16430.79
16428.02,1669750500000,16430.38,16423.86,16423.86
16428.17,1669750800000,16429.12,16421.37,16428.02
16427.37,1669751100000,16432.51,16425.26,16425.26
16425.26,1669751400000,16427.62,16425.26,16425.27
16422.05,1669751700000,16427.51,16407.50,16425.26
16428.57,1669752000000,16429.00,16426.43,16427.27
16475.44,1669752300000,16488.00,16426.45,16428.56
16470.51,1669752600000,16475.48,16462.17,16465.31
16459.22,1669752900000,16462.49,16459.12,16459.12
16455.36,1669753200000,16465.10,16451.92,16462.10
16449.65,1669753500000,16454.36,16442.24,16449.69
16459.19,1669753800000,16463.29,16445.15,16447.67
16461.66,1669754100000,16466.65,16454.51,16455.05
16459.52,1669754400000,16462.50,16453.34,16460.01
16468.07,1669754700000,16469.14,16458.04,16458.04
16474.06,1669755000000,16474.06,16462.83,16466.20
16495.57,1669755300000,16495.57,16474.06,16474.06
16491.96,1669755600000,16494.55,16489.41,16493.61
16476.85,1669755900000,16485.39,16476.51,16485.39
16489.18,1669756200000,16493.73,16477.63,16477.63
16488.75,1669756500000,16488.75,16482.69,16487.73
16479.34,1669756800000,16489.38,16478.12,16486.36
16477.36,1669757100000,16478.42,16474.36,16477.53
16475.89,1669757400000,16476.66,16475.88,16475.90
16449.78,1669757700000,16477.41,16449.77,16477.19
16471.36,1669758000000,16475.10,16444.89,16444.89
16460.95,1669758300000,16468.03,16460.95,16468.03
16462.25,1669758600000,16462.25,16453.01,16453.01
16465.50,1669758900000,16465.50,16460.81,16464.83
16464.71,1669759200000,16466.73,16462.80,16465.49
16471.24,1669759500000,16472.75,16466.73,16466.73
16474.56,1669759800000,16491.00,16474.56,16475.41
16463.21,1669760100000,16474.55,16460.50,16474.55
16461.87,1669760400000,16468.61,16459.58,16463.21
16476.00,1669760700000,16476.00,16465.31,16465.31
16475.05,1669761000000,16479.66,16475.05,16479.66
16476.75,1669761300000,16479.38,16457.81,16477.21
16472.43,1669761600000,16475.14,16470.63,16475.14
16467.23,1669761900000,16478.00,16467.16,16473.55
16467.26,1669762200000,16479.38,16467.24,16467.24
16479.38,1669762500000,16479.38,16474.58,16474.58
16468.66,1669762800000,16503.83,16455.41,16479.38
16468.81,1669763100000,16478.05,16455.49,16458.59
16461.75,1669763400000,16477.49,16461.24,16473.11
16463.34,1669763700000,16467.23,16455.52,16467.23
16459.57,1669764000000,16464.09,16455.52,16460.23
16465.19,1669764300000,16465.19,16457.25,16457.55
16447.35,1669764600000,16465.19,16442.28,16465.19
16451.87,1669764900000,16458.55,16444.59,16447.37
16452.04,1669765200000,16452.72,16449.09,16451.87
16439.69,1669765500000,16456.11,16439.69,16451.99
16435.00,1669765800000,16438.20,16432.55,16434.20
16435.00,1669766100000,16435.00,16431.66,16433.23
16459.28,1669766400000,16465.73,16430.17,16434.14
16454.05,1669766700000,16465.73,16454.05,16461.67
16435.91,1669767000000,16456.37,16429.49,16454.05
16446.07,1669767300000,16448.96,16433.43,16438.25
16454.95,1669767600000,16459.81,16446.13,16446.13
16451.77,1669767900000,16466.00,16451.75,16454.49
16470.00,1669768200000,16470.00,16451.62,16451.62
16548.46,1669768500000,16578.22,16471.45,16471.45
16833.43,1669768800000,16900.93,16531.26,16531.26
16850.53,1669769100000,16862.13,16773.10,16827.79
16812.51,1669769400000,16856.88,16801.00,16835.75
16840.26,1669769700000,16864.70,16813.46,16814.59
16920.49,1669770000000,16936.05,16843.66,16843.66
16900.52,1669770300000,16911.17,16863.67,16893.74
16902.71,1669770600000,16906.67,16861.72,16886.19
16866.84,1669770900000,16910.74,16866.83,16907.96
16865.26,1669771200000,16888.02,16855.60,16866.84
16846.91,1669771500000,16874.08,16841.17,16865.99
16837.10,1669771800000,16859.35,16831.96,16846.17
16841.29,1669772100000,16850.00,16838.62,16838.62
16838.77,1669772400000,16846.85,16823.01,16844.58
16857.98,1669772700000,16857.98,16829.96,16844.23
16876.20,1669773000000,16884.45,16863.62,16863.62
16881.30,1669773300000,16895.07,16880.57,16894.13
16912.72,1669773600000,16923.86,16882.32,16882.32
16919.00,1669773900000,16967.49,16918.66,16918.66
16900.70,1669774200000,16910.65,16890.19,16910.65
16964.25,1669774500000,16964.25,16908.26,16909.17
17049.92,1669774800000,17090.00,16966.61,16966.61
17017.68,1669775100000,17056.99,17013.19,17047.07
16995.68,1669775400000,17027.44,16995.68,17016.88
17008.17,1669775700000,17019.40,16999.85,17004.76
17000.24,1669776000000,17025.72,16992.42,17021.05
16986.31,1669776300000,17012.32,16986.31,17001.39
16973.17,1669776600000,16992.08,16961.84,16992.08
16967.72,1669776900000,16991.81,16963.46,16970.12
16951.98,1669777200000,16975.83,16943.88,16965.86
16947.52,1669777500000,16960.93,16925.20,16957.07
16953.51,1669777800000,16954.51,16947.47,16947.47
16939.84,1669778100000,16951.13,16936.78,16936.78
16937.36,1669778400000,16947.19,16937.33,16947.19
16929.71,1669778700000,16941.08,16918.68,16938.39
16908.59,1669779000000,16928.67,16883.43,16914.39
16905.53,1669779300000,16920.89,16902.18,16902.18
16900.00,1669779600000,16912.14,16892.06,16905.78
16885.52,1669779900000,16907.22,16878.03,16907.16
16870.28,1669780200000,16888.59,16870.28,16887.60
16839.91,1669780500000,16868.99,16837.40,16866.69
16876.26,1669780800000,16880.46,16826.00,16835.59
16876.73,1669781100000,16881.90,16873.44,16874.23
16884.85,1669781400000,16888.21,16870.41,16870.41
16881.53,1669781700000,16891.50,16878.32,16883.04
16888.69,1669782000000,16888.69,16876.04,16879.75
16880.73,1669782300000,16891.66,16879.76,16887.26
16873.22,1669782600000,16879.35,16869.12,16878.20
16870.85,1669782900000,16874.53,16864.06,16874.53
16854.61,1669783200000,16867.58,16850.97,16867.58
16840.98,1669783500000,16860.20,16837.80,16854.62
16853.35,1669783800000,16853.36,16828.06,16837.34
16876.39,1669784100000,16876.39,16856.88,16856.88
16876.39,1669784400000,16876.39,16876.39,16876.39
16876.42,1669784700000,16876.55,16871.28,16876.40
16876.64,1669785000000,16876.64,16867.50,16871.77
16879.82,1669785300000,16879.82,16867.96,16874.69
16884.97,1669785600000,16886.37,16877.25,16877.25
16900.50,1669785900000,16907.27,16884.10,16891.06
16900.14,1669786200000,16910.15,16892.34,16897.75
